date,username,review,rating
2024-04-30 23:10:38,Noval Aziz,"Oi tolong dana saldo kakak ku ilang 1,6jt GK balik padahal GK pernah kasih otp Sama email verifikasi ko ilang minimal ada pengembalian nya lah masak OJK nya GK sesuai dan banyak kasus kehilangan di luar sana sedang di perbincangkan di apk FB tu penjelasan nya bagaimana kasih solusi dong",1
2024-04-30 23:08:32,Cahya Sidik,selalu ok,5
2024-04-30 23:08:30,ABANG L L,kak kenapa vitur dana cicil tidak ada di apk saya..padahal saya sudah permium dan sudah saya update,5
2024-04-30 23:07:27,Gery fityanto Putra,ok,5
2024-04-30 23:07:11,Fitri Dewi,"Tgl 30 april 2024,tepat nya tdi pagi jam 10.52 Saldo saya tiba² abis Saya lihat di riwayat ada transaksi uang sebesar 198000rb Saya udah hubungi cs,tapi hasil nya nihil Jadi gimana nih dengan keamanan aplikasi DANA gak bisa bertanggung jawab atas hilang nya saldo saya",1
2024-04-30 23:04:24,Yusuf Awaludin,"semoga Keamanan di aplikasi dana selalu terjaga,biar Dana tetap jadi aplikasi pilihan kita semua.",5
2024-04-30 23:02:57,Sadar Diri,Sukses slalu,5
2024-04-30 23:02:41,Jes Silalahi 16,"Susah banget dari dulu buka aktivitas transaksi, harus di ulang berkali kali baru bisa.",3
2024-04-30 23:00:39,Khoirul Fatchurroziq,baik,5
2024-04-30 22:58:04,Iwan Wan,⚡NEVER GIVE UP⚡,4
2024-04-30 22:57:49,Aakasian Aakasihan,mnatap,5
2024-04-30 22:56:19,Siti Jumaroh,"kurang maksimal pelayanannya, ribet",1
2024-04-30 22:54:09,Kalis,bagus sekali,5
2024-04-30 22:53:43,Papa Muda,"Apk mempersulit, mau updet ke dana premium aja susah banget, padahal data2 sudah benar. Alasan nya blm memenuhi persyaratan, lantas saya bertanya, persyaratan apa yg blm saya penuhi. Pihak CS tidak ada solusi 😩😤",1
2024-04-30 22:53:38,Teguh San,Aplikasi sering terhenti,4
2024-04-30 22:53:32,Icad Tantowi,Bank syariah Indonesia ko kaga ada ya padahal bagus apknya,4
2024-04-30 22:52:46,Harry dwi,"Saldo dana terpotong dengan sendirinya,akun di hack,auto transaksi sendiri..kecewa lah pokoknya!!!!",1
2024-04-30 22:51:19,Mas Azamadelard,Badui Heave sering gk bisa kirim,4
2024-04-30 22:48:39,Ucup Markucup,moal gagal,5
2024-04-30 22:48:38,Masno Senot,bagus,4
2024-04-30 22:46:04,Rubi yatun,joss..,4
2024-04-30 22:43:34,rehan dafila,terimakasih,5
2024-04-30 22:41:47,rama anindito,"Kenapa saldo saya lama di proses tuk perpindahan saldo....saldo saya 1,,2 juta jadi hilang setelah pergantian nomor...saldo saya kau kemanakan....",1
2024-04-30 22:39:27,Reksa Reiz,jadi mudah,5
2024-04-30 22:38:59,Nandang Suhendar,"Saldo dana hilang sendiri, pas liat di history ada transaksi tak di kenal,,UNINSTAL ajah Dari pihak DANA gak ada tanggung jawab nya ada si DIANA juga gak membantu",1
2024-04-30 22:37:22,Tresia Petege,Mantap👌,5
2024-04-30 22:36:35,David Anindito,ok,5
2024-04-30 22:35:25,Alya Dwi Febriani,"KALIAN GAUSAH DEH PAKE APLIKASI INI UDA GA AMAN SAMA SEKALIII, TG TAPI MALAH GAMASUK ILANG ENTAH KEMANA, SEMOGA BERKAH YAA DI AKHIRAT",1
2024-04-30 22:33:34,Acil Cil,mantap,5
2024-04-30 22:33:09,Salman Alfarizi,bagus,5
2024-04-30 22:30:19,Sobirin,lancar jaya,5
2024-04-30 22:29:08,Dicky Gunawan,Bagus,5
2024-04-30 22:28:26,Eman Eman,ok,5
2024-04-30 22:23:24,Ekopromono Ekopromono,klo loding kenapa agak lelet,5
2024-04-30 22:22:06,Alus Sari,sangat membantu,5
2024-04-30 22:21:55,Andi Kesumah,Ok bgt,5
2024-04-30 22:21:12,Andi Setiawan,ok,5
2024-04-30 22:21:02,Boy Devi,sangat mudah digunakan,5
2024-04-30 22:20:52,Rekha Fitriah,sangat sangat membantu👍 thankyou DANA 🤗,5
2024-04-30 22:20:29,Mamikmamikmamik Mamik,Buka gogle playstor,1
2024-04-30 22:20:14,Setiyo Raharjo,"mantap aplikasinya, sangat membantu",5
2024-04-30 22:20:01,pendi Gustina,Terimakasih Dana,5
2024-04-30 22:18:58,Kiba Akamaru,Lemot,4
2024-04-30 22:16:56,Arman Marvel,sangat bagus,4
2024-04-30 22:15:55,Azam Zam,bagus,5
2024-04-30 22:15:52,ganyong,smoga aman sllu,5
2024-04-30 22:11:31,Basri Abas,mantap,5
2024-04-30 22:10:58,indra gunawan,senang sekali guna kan aplikasi ini,5
2024-04-30 22:10:31,Nofry singal,sangat baik,5
2024-04-30 22:07:48,kiki nurkamaludin,Mau buka transaksi histori lemot parah minta ampun,1
2024-04-30 22:06:30,Syams Udhyn,Banyak memakan waktu dan lelet jika brp minggu gk d buka..terlalu sering d update dan memakan kuota,3
2024-04-30 22:06:04,Ani Hartaty,tolong dibantu untuk JD premium donk,5
2024-04-30 22:05:50,Ijal Gendut,top markotop,5
2024-04-30 22:04:46,AHMAD FAJAR FITRIANTO,sangat baik,4
2024-04-30 22:04:13,Ekosaputra Saputra,sangat membantu,5
2024-04-30 22:03:36,muhamadsaepudin muhamad,top,5
2024-04-30 22:02:22,Iwan Koprasi,sangat bagus dan membantu untuk ku berbisnis melalui apk dana ini trimakasih,5
2024-04-30 22:01:59,Irfan Kurniawan,sangat membantu,5
2024-04-30 22:01:14,Falisha Fayola,jos gandos,5
2024-04-30 22:00:09,Embay Oblo,ok,5
2024-04-30 21:59:25,Muhammad Muhammad,best,5
2024-04-30 21:59:02,Aripin Ari,bagus sekali,5
2024-04-30 21:58:28,Idad Mis,🅑🅐🅖🅤🅢,5
2024-04-30 21:58:11,Budi awan,Dana semoga sukses dan semoga berkah,5
2024-04-30 21:57:20,Atep Supriatna,"Giliran mau top up 30 juta apk malah tidak bsa d buka kesel ke ubun2 Blokir ajh sekalian , males D telpon susah d email jawab nya muter2 Kesel.",1
2024-04-30 21:56:27,Ridwan Gunawan,bagus,5
2024-04-30 21:55:36,Selvna Pina,ok,5
2024-04-30 21:55:35,Putu Krishnamurti,"Kalau saya tahu aplikasinya sebagus ini, dari dulu deh saya install. Nyesel baru tahu aplikasinya akhir-akhir ini. Semoga semakin berkembang aplikasinya.",5
2024-04-30 21:51:49,Duwi Pitoyo,mantap pokoknya,5
2024-04-30 21:49:58,Iky Ky,😍,2
2024-04-30 21:49:47,Mutiatuz Zahro,bgus,1
2024-04-30 21:49:25,Bayu Marbun,Banyak penipuan dsini jangan didwoloab,1
2024-04-30 21:49:05,Pur Wanto,makasi dana uda membantu transaksi dengan mudah,5
2024-04-30 21:49:02,Lina Ina,siiip,5
2024-04-30 21:48:25,Puji Anto,bagus,5
2024-04-30 21:46:44,Sumiyati Jipang,Terimakasih,5
2024-04-30 21:46:34,Candra Daely,Mantap,5
2024-04-30 21:46:32,sucitri handayani,ok,5
2024-04-30 21:46:23,Harianto Elisa,Cukub membantu. Buat pemula yang belum paham.,4
2024-04-30 21:46:20,Agung Maulana,Aplikasi dana mantap,5
2024-04-30 21:45:44,lidia siswanti,Sangat baik,4
2024-04-30 21:45:02,Ari Susanto,ok bangt dana ilov,5
2024-04-30 21:45:00,Zul Kifli4444,Aplikasi anjing gue simpen unag 100 ilang simpen lagih uang ilang tolol,5
2024-04-30 21:44:38,Polce Gofin Takoi,good job,5
2024-04-30 21:43:52,Andi Sutisna,bagus dan baik pelayanan ya,5
2024-04-30 21:41:07,Agung ramadhan,sangat baik dan bagus,5
2024-04-30 21:40:14,ggwp 1,bagus,5
2024-04-30 21:39:51,Widya Indra,💞💞💞💞💞💞,5
2024-04-30 21:38:57,link'z channel,mantep,5
2024-04-30 21:38:36,Saepul Mahmud,baik,5
2024-04-30 21:37:18,Daviid Arviiana,Bagus,1
2024-04-30 21:37:15,Ferdi channel,sngat bagus,5
2024-04-30 21:36:12,Cily Aja,kaga kuat mental trus setiap masuk aplikasi,1
2024-04-30 21:34:09,Wktt_ Stww,GG abiss,5
2024-04-30 21:33:38,Indra Hidayat,good job,5
2024-04-30 21:33:28,zozo cat,ok. sda sangat memuaskan dan semoga kedepannya Apk DANA semakin kaya dan sukses,5
2024-04-30 21:30:55,Ach Syuib,memang mantap,5
2024-04-30 21:28:53,Arief Farel,mempermudah transaksi,5
2024-04-30 21:28:28,Azkiya Nur lail,terimakasih,5
2024-04-30 21:27:31,lucyana -,Bye2 dana... Voucher KFC saya gak bisa digunakan menggunakan mesin scan dana.. tapi jika scan menggunakan EDC..lancar2 saja.. ujung2nya gak kepake voucher.. ini sudah beberapa kali tak pernah berhasil... Heran saya... Dari pada kecewa terus.. bye2..,1
2024-04-30 21:25:22,Eva Evaaa,Kenapa ya uang 1jt saya gk bisa di ambil karena dana di beku kan mana udah lama tetep gk bisa uang masuk ada tapi gk bisa di ambil,3
2024-04-30 21:25:18,Or3o id,good apk,5
2024-04-30 21:25:11,Gita septi Ani putri,Huhu aplikasi dana penipuan katanya dapet 2jt mana coba aplikasi penipuan egak percaya aku 🗿,1
2024-04-30 21:23:03,Juwita Sarry,puas,5
2024-04-30 21:23:01,Muhammad Haidar,dana memang mantaap,5
2024-04-30 21:21:52,Munthaha Budy,Maksud dari dana kompensasi pending apa ya?,2
2024-04-30 21:20:03,Agus Suryanto,cukup baik dan mempermudah dan hemat.mohon di tingkatkan terus ya bosqu... 🙏,4
2024-04-30 21:17:29,INANG RIMBUS,Nice,5
2024-04-30 21:16:09,vicky ahoy,sering gangguan,4
2024-04-30 21:16:06,"Slamet.15,07,96 Rusdi",seh mogah bisa membantu dan mempermudah kan pengguna ya,2
2024-04-30 21:15:34,aurel agustina,ngapa seharian kaga bisa buka aplikasinyaaaaa???eror???ada saldo saya disituuuu euyyy gimanaaaa critanyaaa,1
2024-04-30 21:15:24,Marvel Sah,mau premium tapi harus daftar pakai ktp,3
2024-04-30 21:15:23,Hadian Syah,Ok,5
2024-04-30 21:15:05,RIJAL,nice,5
2024-04-30 21:15:01,Sumarto Atok,aku bangga makek dana,5
2024-04-30 21:14:52,Farid Suherman,Aplikasi makin lama makin gak bener. Permasalahan y di QRIS dengan pajak pembayaran tidak ada jumlah saldo isi saldo y aja berapa maka saldo tersebut dipotong secara otomatis. Dan tidak ada pemberitahuan dengan nilai jumlah pajak tersebut. Tolong harap ditindaklanjuti kalau madih pengen lancar di gunakan oleh warga negara Indonesia,1
2024-04-30 21:14:44,Putra Axsen,"sangt""membantu.jd lebih mudah..",5
2024-04-30 21:14:10,Susanto Kipli,mudah Dan cepat Aku suka,5
2024-04-30 21:13:39,Imam Altaf,good lah,5
2024-04-30 21:13:10,RiaL kibod AML MUSICA,sangat membantu,5
2024-04-30 21:13:03,Nurjaman 5758,"Tf Saldo kepotong tpi ke rek tujuan tidak ada,,mana tf nya 1000000,,komplen tidak ada solusi",1
2024-04-30 21:11:32,Gino Arganata,akun dana registrasi pakai KTP tapi kenapa bisa terblokir juga dan juga saldo bisa. Ilang kalau sudah terblokir,1
2024-04-30 21:11:21,Rendy Agung Nugroho,"mantapp, kirim2 gampang",5
2024-04-30 21:10:28,Ujang Mulyana,kpd pihak dana yg terhormat apa dompet digital saya bisa di pulihkan kembali,1
2024-04-30 21:10:24,Uwoe Gaming,bagus buat alat transaksi,5
2024-04-30 21:09:02,Lukmannul Hakim,baik,4
2024-04-30 21:08:41,Candyman,"tidak bisa melakukan transaksi, gagal mulu",1
2024-04-30 21:08:18,Riki Bta,Yang bener lah woyyy... Masa tiap isi saldo sllu trpotong Apk gak bner mnding unistal woy Pindah apk seblah,1
2024-04-30 21:06:50,halimahtusyadiah syadiah,ok BANGET APK nya,5
2024-04-30 21:05:47,eko hartono,suka,5
2024-04-30 21:05:18,Sa'id Gembong,G MAU RUGI y min (event A+ Reward Flip Card 😂... Tiap kali flip card jam 9 ontime pasti (ups...ada yang salah... ) trus coba ulang lagi pasti dapetnya e shop 1k😂...,5
2024-04-30 21:05:04,Caca Cahyana,sangat bermanfaat trimakasih dana 🤗🙏,5
2024-04-30 21:00:16,Ahmad Faidullah,Ini apk knapa setelah di upgrade ga pernah bisa top up,1
2024-04-30 20:58:09,Devin husnil Mubarok,Gimana ini cara login lewat otp ko gabisa,1
2024-04-30 20:57:43,Firman Maulana,luar biasa..,5
2024-04-30 20:53:34,Bulo Buloa,lancar dan hemat,5
2024-04-30 20:52:05,Dedi Gusnawan,ok,3
2024-04-30 20:51:41,Tommy The.doctor,Mantap,3
2024-04-30 20:50:18,Deris Tv chanel,keren,3
2024-04-30 20:49:23,Qurnia Tata,Bagus banget,5
2024-04-30 20:48:49,Andryagit Agit,ok,5
2024-04-30 20:47:07,Abd Rohman,transaksi nya cepat.,4
2024-04-30 20:46:07,Muhammad Ramadhan,Lmbat mengunduh,5
2024-04-30 20:45:11,Kiki Lesmana,Mantap,5
2024-04-30 20:43:58,Nimanpr 432,ok 🙏🙏,5
2024-04-30 20:43:39,Syahrul Ramadhan,Mantap,5
2024-04-30 20:41:34,rinto hendra,Maaf kok sekarang agak ribet,5
2024-04-30 20:41:05,Love Pisan,"DANA mah aneh sendiri, harusnya yg dipotong admin tuh pengirim bukan penerima jdi ngerugin orang !!!",1
2024-04-30 20:40:32,abak L,"Saya kecewa, aplikasi nya mudah di bajak, dari pihak dana nya tidak ada tanggung jawab nya sama sekali atas kehilangan saldo kita,",1
2024-04-30 20:40:26,Acong 99,Parah dana kalau gak niat ada paylater gak usah sediain soalnya giliran kepepet gak bisa digunain,1
2024-04-30 20:40:20,Rian Syaputra,Oke,5
2024-04-30 20:39:55,Undang Nugraha,Dana udah GX bener sekarg,1
2024-04-30 20:39:41,Ibnu Nawawi,👍,5
2024-04-30 20:38:28,Oka Dwi Ramadhan,2x melakukan transaksi saldo hilang semua sudah minta pengembalian tidak di acc,1
2024-04-30 20:36:32,domuan padang,sangat membantu,5
2024-04-30 20:36:12,Muhammad Adi,ok,5
2024-04-30 20:35:35,Kanu SMT,keamanannya sangat jelek 🙂🐶,1
2024-04-30 20:32:51,#Shine,Apakah ada Gmail/email yang bisa dihubungi??? Saya memiliki sedikit permasalahan namun tidak ditanggapi dengan baik oleh bot dana.. Jika ada Gmail/email yang bisa saya hubungi saya ingin mengirim video permasalahan yang saya alami.. Untuk kegunaannya saya pribadi berterima kasih saya sangat mengandalkan aplikasi dana.,5
2024-04-30 20:31:20,Ramdan Sugilar,Akun dana saya tidak bisa upgrade ke premium,1
2024-04-30 20:31:00,nasir uddin,Siip,5
2024-04-30 20:30:36,Sinema Indo,amammamm,5
2024-04-30 20:30:07,Simay Cantik,mantap,5
2024-04-30 20:29:38,Rohmat Toljik,sangat memudah kan pake dana,5
2024-04-30 20:28:52,Usul Uus,ok,5
2024-04-30 20:28:14,Pian Sopian,🙏👍👌💖💖✨✨🌟🌟💖💖👌👍🙏,5
2024-04-30 20:27:44,Abda tussholihah,Ok,5
2024-04-30 20:27:38,Kiano Halawa Anak Kampung,baik,5
2024-04-30 20:27:01,Assyifa Adriana,Kenapa saya mau masuk ke aplikasi dana tidak bisa pasti keluar terusss,1
